AOIName,FixationDuration,Stimulus,Participant
NT10-L05,233.0,NT10.PNG,P01
NT10-L02,6564.0,NT10.PNG,P01
NT10-L03,1882.0,NT10.PNG,P01
NT10-L02,217.0,NT10.PNG,P01
NT10-L03,2069.0,NT10.PNG,P01
NT10-L04,2349.0,NT10.PNG,P01
NT10-L03,117.0,NT10.PNG,P01
NT10-L04,250.0,NT10.PNG,P01
NT10-L03,1299.0,NT10.PNG,P01
NT10-L04,366.0,NT10.PNG,P01
NT10-L03,1033.0,NT10.PNG,P01
NT10-L04,5280.0,NT10.PNG,P01
NT10-L06,67.0,NT10.PNG,P01
NT10-L05,633.0,NT10.PNG,P01
NT10-L03,1017.0,NT10.PNG,P01
NT10-L04,350.0,NT10.PNG,P01
NT10-L03,283.0,NT10.PNG,P01
NT10-L04,250.0,NT10.PNG,P01
NT10-L03,317.0,NT10.PNG,P01
NT10-L04,2116.0,NT10.PNG,P01
NT10-L03,200.0,NT10.PNG,P01
NT10-L04,650.0,NT10.PNG,P01
NT10-L05,1616.0,NT10.PNG,P01
NT10-L04,1066.0,NT10.PNG,P01
NT10-L05,366.0,NT10.PNG,P01
NT10-L04,783.0,NT10.PNG,P01
NT10-L06,83.0,NT10.PNG,P01
NT10-L05,2682.0,NT10.PNG,P01
NT10-L06,250.0,NT10.PNG,P01
NT10-L07,2898.0,NT10.PNG,P01
NT10-L08,216.0,NT10.PNG,P01
NT10-L07,4531.0,NT10.PNG,P01
NT10-L08,2249.0,NT10.PNG,P01
NT10-L09,2667.0,NT10.PNG,P01
NT10-L10,1566.0,NT10.PNG,P01
NT10-L11,334.0,NT10.PNG,P01
NT10-L10,217.0,NT10.PNG,P01
NT10-L11,1816.0,NT10.PNG,P01
NT10-L12,1265.0,NT10.PNG,P01
NT10-L11,567.0,NT10.PNG,P01
NT10-L03,117.0,NT10.PNG,P02
NT10-L02,3614.0,NT10.PNG,P02
NT10-L03,1933.0,NT10.PNG,P02
NT10-L04,2916.0,NT10.PNG,P02
NT10-L05,500.0,NT10.PNG,P02
NT10-L04,200.0,NT10.PNG,P02
NT10-L05,1615.0,NT10.PNG,P02
NT10-L06,450.0,NT10.PNG,P02
NT10-L07,5130.0,NT10.PNG,P02
NT10-L08,2682.0,NT10.PNG,P02
NT10-L09,700.0,NT10.PNG,P02
NT10-L08,167.0,NT10.PNG,P02
NT10-L09,2032.0,NT10.PNG,P02
NT10-L10,100.0,NT10.PNG,P02
NT10-L09,1516.0,NT10.PNG,P02
NT10-L10,1650.0,NT10.PNG,P02
NT10-L11,533.0,NT10.PNG,P02
NT10-L09,633.0,NT10.PNG,P02
NT10-L10,1050.0,NT10.PNG,P02
NT10-L08,200.0,NT10.PNG,P02
NT10-L03,749.0,NT10.PNG,P02
NT10-L02,2150.0,NT10.PNG,P02
NT10-L03,433.0,NT10.PNG,P02
NT10-L04,3181.0,NT10.PNG,P02
NT10-L05,433.0,NT10.PNG,P02
NT10-L04,217.0,NT10.PNG,P02
NT10-L05,1199.0,NT10.PNG,P02
NT10-L04,200.0,NT10.PNG,P02
NT10-L05,2250.0,NT10.PNG,P02
NT10-L06,750.0,NT10.PNG,P02
NT10-L07,2783.0,NT10.PNG,P02
NT10-L08,2582.0,NT10.PNG,P02
NT10-L09,3529.0,NT10.PNG,P02
NT10-L10,1601.0,NT10.PNG,P02
NT10-L11,649.0,NT10.PNG,P02
NT10-L10,933.0,NT10.PNG,P02
NT10-L07,616.0,NT10.PNG,P02
NT10-L02,1866.0,NT10.PNG,P02_2
NT10-L03,599.0,NT10.PNG,P02_2
NT10-L04,2015.0,NT10.PNG,P02_2
NT10-L05,400.0,NT10.PNG,P02_2
NT10-L07,1466.0,NT10.PNG,P02_2
NT10-L08,1000.0,NT10.PNG,P02_2
NT10-L07,183.0,NT10.PNG,P02_2
NT10-L08,150.0,NT10.PNG,P02_2
NT10-L09,233.0,NT10.PNG,P02_2
NT10-L08,584.0,NT10.PNG,P02_2
NT10-L09,167.0,NT10.PNG,P02_2
NT10-L08,117.0,NT10.PNG,P02_2
NT10-L09,217.0,NT10.PNG,P02_2
NT10-L10,1317.0,NT10.PNG,P02_2
NT10-L11,500.0,NT10.PNG,P02_2
NT10-L07,650.0,NT10.PNG,P02_2
NT10-L03,200.0,NT10.PNG,P02_2
NT10-L02,533.0,NT10.PNG,P02_2
NT10-L02,133.0,NT10.PNG,P03
NT10-L03,317.0,NT10.PNG,P03
NT10-L02,283.0,NT10.PNG,P03
NT10-L01,67.0,NT10.PNG,P03
NT10-L02,233.0,NT10.PNG,P03
NT10-L01,67.0,NT10.PNG,P03
NT10-L02,133.0,NT10.PNG,P03
NT10-L01,67.0,NT10.PNG,P03
NT10-L03,517.0,NT10.PNG,P03
NT10-L04,67.0,NT10.PNG,P03
NT10-L03,533.0,NT10.PNG,P03
NT10-L01,133.0,NT10.PNG,P03
NT10-L02,83.0,NT10.PNG,P03
NT10-L01,67.0,NT10.PNG,P03
NT10-L02,350.0,NT10.PNG,P03
NT10-L04,1617.0,NT10.PNG,P03
NT10-L03,700.0,NT10.PNG,P03
NT10-L05,183.0,NT10.PNG,P03
NT10-L04,2364.0,NT10.PNG,P03
NT10-L05,2216.0,NT10.PNG,P03
NT10-L06,450.0,NT10.PNG,P03
NT10-L07,666.0,NT10.PNG,P03
NT10-L06,150.0,NT10.PNG,P03
NT10-L07,2783.0,NT10.PNG,P03
NT10-L08,3498.0,NT10.PNG,P03
NT10-L09,2467.0,NT10.PNG,P03
NT10-L10,2016.0,NT10.PNG,P03
NT10-L11,2183.0,NT10.PNG,P03
NT10-L12,1833.0,NT10.PNG,P03
NT10-L11,250.0,NT10.PNG,P03
NT10-L03,466.0,NT10.PNG,P03
NT10-L04,166.0,NT10.PNG,P03_2
NT10-L03,83.0,NT10.PNG,P03_2
NT10-L01,499.0,NT10.PNG,P03_2
NT10-L03,83.0,NT10.PNG,P03_2
NT10-L02,384.0,NT10.PNG,P03_2
NT10-L04,783.0,NT10.PNG,P03_2
NT10-L03,167.0,NT10.PNG,P03_2
NT10-L06,100.0,NT10.PNG,P03_2
NT10-L05,333.0,NT10.PNG,P03_2
NT10-L04,100.0,NT10.PNG,P03_2
NT10-L05,117.0,NT10.PNG,P03_2
NT10-L07,250.0,NT10.PNG,P03_2
NT10-L05,100.0,NT10.PNG,P03_2
NT10-L07,866.0,NT10.PNG,P03_2
NT10-L06,100.0,NT10.PNG,P03_2
NT10-L07,183.0,NT10.PNG,P03_2
NT10-L08,801.0,NT10.PNG,P03_2
NT10-L07,100.0,NT10.PNG,P03_2
NT10-L09,183.0,NT10.PNG,P03_2
NT10-L10,83.0,NT10.PNG,P03_2
NT10-L09,217.0,NT10.PNG,P03_2
NT10-L10,117.0,NT10.PNG,P03_2
NT10-L11,234.0,NT10.PNG,P03_2
NT10-L02,167.0,NT10.PNG,P04
NT10-L01,982.0,NT10.PNG,P04
NT10-L02,1149.0,NT10.PNG,P04
NT10-L01,67.0,NT10.PNG,P04
NT10-L02,699.0,NT10.PNG,P04
NT10-L03,484.0,NT10.PNG,P04
NT10-L02,768.0,NT10.PNG,P04
NT10-L03,150.0,NT10.PNG,P04
NT10-L02,233.0,NT10.PNG,P04
NT10-L03,416.0,NT10.PNG,P04
NT10-L04,650.0,NT10.PNG,P04
NT10-L03,266.0,NT10.PNG,P04
NT10-L04,583.0,NT10.PNG,P04
NT10-L03,1850.0,NT10.PNG,P04
NT10-L04,450.0,NT10.PNG,P04
NT10-L03,67.0,NT10.PNG,P04
NT10-L04,4680.0,NT10.PNG,P04
NT10-L05,1382.0,NT10.PNG,P04
NT10-L04,183.0,NT10.PNG,P04
NT10-L05,217.0,NT10.PNG,P04
NT10-L04,167.0,NT10.PNG,P04
