AOIName,FixationDuration,Stimulus,Participant
SC2-L02,150.0,SC2.PNG,P01
SC2-L01,266.0,SC2.PNG,P01
SC2-L02,250.0,SC2.PNG,P01
SC2-L01,1182.0,SC2.PNG,P01
SC2-L02,1083.0,SC2.PNG,P01
SC2-L03,2033.0,SC2.PNG,P01
SC2-L04,333.0,SC2.PNG,P01
SC2-L05,217.0,SC2.PNG,P01
SC2-L04,799.0,SC2.PNG,P01
SC2-L05,916.0,SC2.PNG,P01
SC2-L06,983.0,SC2.PNG,P01
SC2-L04,250.0,SC2.PNG,P02
SC2-L02,400.0,SC2.PNG,P02
SC2-L05,816.0,SC2.PNG,P02
SC2-L04,616.0,SC2.PNG,P02
SC2-L05,1599.0,SC2.PNG,P02
SC2-L06,1249.0,SC2.PNG,P02
SC2-L05,2532.0,SC2.PNG,P02
SC2-L06,650.0,SC2.PNG,P02
SC2-L05,1715.0,SC2.PNG,P02
SC2-L04,233.0,SC2.PNG,P02
SC2-L02,583.0,SC2.PNG,P02
SC2-L06,283.0,SC2.PNG,P02
SC2-L07,117.0,SC2.PNG,P02
SC2-L06,83.0,SC2.PNG,P02
SC2-L07,250.0,SC2.PNG,P02
SC2-L05,133.0,SC2.PNG,P02
SC2-L06,200.0,SC2.PNG,P02
SC2-L05,1049.0,SC2.PNG,P02
SC2-L03,300.0,SC2.PNG,P02_2
SC2-L02,466.0,SC2.PNG,P02_2
SC2-L01,100.0,SC2.PNG,P02_2
SC2-L02,1466.0,SC2.PNG,P02_2
SC2-L04,333.0,SC2.PNG,P02_2
SC2-L05,982.0,SC2.PNG,P02_2
SC2-L06,2015.0,SC2.PNG,P02_2
SC2-L05,2014.0,SC2.PNG,P02_2
SC2-L06,3548.0,SC2.PNG,P02_2
SC2-L03,316.0,SC2.PNG,P02_2
SC2-L02,250.0,SC2.PNG,P02_2
SC2-L05,799.0,SC2.PNG,P02_2
SC2-L04,250.0,SC2.PNG,P02_2
SC2-L06,200.0,SC2.PNG,P02_2
SC2-L05,916.0,SC2.PNG,P02_2
SC2-L06,883.0,SC2.PNG,P02_2
SC2-L04,167.0,SC2.PNG,P03
SC2-L02,217.0,SC2.PNG,P03
SC2-L04,916.0,SC2.PNG,P03
SC2-L05,866.0,SC2.PNG,P03
SC2-L04,717.0,SC2.PNG,P03
SC2-L05,567.0,SC2.PNG,P03
SC2-L06,1433.0,SC2.PNG,P03
SC2-L02,334.0,SC2.PNG,P03
SC2-L01,83.0,SC2.PNG,P03
SC2-L04,367.0,SC2.PNG,P03
SC2-L05,767.0,SC2.PNG,P03
SC2-L04,233.0,SC2.PNG,P03
SC2-L05,1616.0,SC2.PNG,P03
SC2-L04,67.0,SC2.PNG,P03
SC2-L06,2898.0,SC2.PNG,P03
SC2-L05,383.0,SC2.PNG,P03
SC2-L06,316.0,SC2.PNG,P03
SC2-L05,633.0,SC2.PNG,P03
SC2-L03,100.0,SC2.PNG,P03_2
SC2-L04,67.0,SC2.PNG,P03_2
SC2-L03,301.0,SC2.PNG,P03_2
SC2-L04,500.0,SC2.PNG,P03_2
SC2-L05,150.0,SC2.PNG,P03_2
